,carat,cut,color,clarity,depth,table,price,x,y,z
27003,1.5,Very Good,E,VS2,62.1,60.0,14639,7.27,7.32,4.53
27004,1.51,Good,I,SI1,63.8,57.0,6046,7.21,7.18,4.59
27005,0.74,Ideal,F,SI2,60.3,58.0,2295,5.84,5.82,3.51
27006,0.91,Very Good,H,VS1,63.4,56.0,4224,6.18,6.12,3.9
27007,1.2,Fair,G,I1,64.4,55.0,2655,6.77,6.61,4.31
27008,0.79,Very Good,F,SI1,58.5,61.0,3073,6.03,6.08,3.54
27009,1.76,Premium,E,SI1,60.5,58.0,15805,7.93,7.84,4.77
27010,0.35,Ideal,G,VS1,61.9,55.0,906,4.53,4.51,2.8
27011,0.7,Ideal,H,SI2,60.4,58.0,2285,5.82,5.77,3.5
27012,0.31,Ideal,G,VVS2,61.4,56.0,707,4.35,4.38,2.68
27013,0.4,Ideal,F,VS1,61.6,55.0,917,4.74,4.78,2.93
27014,0.41,Good,H,VVS1,62.6,62.0,892,4.7,4.76,2.96
27015,0.49,Premium,G,VS2,61.0,59.0,1225,5.13,5.06,3.11
27016,1.01,Ideal,F,SI1,63.0,57.0,4559,6.39,6.34,4.01
27017,1.5,Good,G,SI1,63.7,59.0,10428,7.19,7.23,4.59
27018,2.37,Ideal,H,SI2,62.1,55.0,16937,8.52,8.54,5.3
27019,0.3,Ideal,E,VS2,61.8,56.0,844,4.32,4.29,2.66
27020,0.3,Ideal,G,VVS1,60.4,58.0,747,4.36,4.38,2.64
27021,0.61,Very Good,D,VS2,61.5,57.0,2266,5.45,5.48,3.36
27022,0.4,Good,E,SI1,63.2,56.0,687,4.65,4.69,2.95
27023,1.7,Premium,I,VS2,60.7,59.0,11519,7.63,7.7,4.65
27024,0.9,Very Good,F,SI2,61.1,54.0,3519,6.27,6.29,3.84
27025,1.55,Very Good,I,VS1,59.0,58.0,10711,7.56,7.63,4.48
27026,0.42,Very Good,D,VS1,62.5,57.0,1109,4.75,4.85,3.0
27027,2.09,Premium,H,SI2,61.4,60.0,14581,8.24,8.2,5.05
27028,0.51,Ideal,G,VS1,62.3,53.5,1652,5.09,5.14,3.19
27029,0.56,Ideal,F,SI1,61.5,55.0,1334,5.3,5.34,3.27
27030,2.22,Ideal,G,SI2,62.5,54.0,17123,8.28,8.35,5.2
27031,1.01,Very Good,G,SI1,60.0,58.0,4719,6.51,6.55,3.92
27032,0.9,Very Good,G,VS2,63.4,59.0,4135,6.08,6.13,3.87
27033,0.65,Premium,E,SI2,61.4,59.0,1640,5.57,5.52,3.41
27034,0.36,Ideal,I,IF,62.0,55.0,735,4.59,4.61,2.85
27035,0.5,Ideal,I,SI1,61.4,56.0,1066,5.13,5.16,3.16
27036,0.59,Premium,H,VS2,60.2,60.0,1590,5.45,5.42,3.27
27037,1.35,Ideal,G,VVS2,61.5,55.0,13230,7.11,7.16,4.39
27038,0.31,Ideal,E,VS2,61.7,56.0,680,4.31,4.35,2.67
27039,0.71,Good,F,VVS2,58.2,60.0,2956,5.89,5.94,3.44
27040,1.2,Premium,F,SI1,62.9,58.0,6435,6.76,6.69,4.23
27041,2.01,Premium,J,SI2,60.8,58.0,12048,8.19,8.13,4.96
27042,1.13,Premium,G,VVS2,61.4,58.0,8019,6.73,6.68,4.12
27043,0.34,Premium,H,VVS1,61.2,60.0,995,4.5,4.46,2.74
27044,0.4,Ideal,I,VS1,63.0,56.0,945,4.72,4.68,2.96
27045,1.07,Premium,G,VS2,62.1,58.0,6471,6.59,6.55,4.08
27046,0.34,Good,E,SI1,63.3,56.0,596,4.41,4.44,2.8
27047,1.0,Premium,G,SI1,60.0,60.0,3568,6.47,6.42,3.87
27048,0.36,Ideal,E,VS1,61.7,56.0,852,4.56,4.58,2.82
27049,1.22,Very Good,J,SI1,58.8,61.0,4969,6.94,7.0,4.1
27050,1.3,Ideal,F,SI2,62.2,56.0,6442,6.96,7.0,4.34
27051,0.52,Very Good,G,VS1,61.2,57.0,1420,5.17,5.23,3.18
27052,0.38,Ideal,E,VVS1,62.3,56.0,1154,4.64,4.67,2.9
27053,0.59,Very Good,D,SI1,62.8,57.0,1743,5.32,5.38,3.36
27054,0.38,Ideal,G,SI1,61.3,56.0,855,4.67,4.63,2.85
27055,0.76,Ideal,E,SI1,61.3,55.0,3584,5.87,5.91,3.61
27056,1.0,Very Good,F,VVS2,61.1,55.0,8227,6.49,6.51,3.97
27057,0.31,Ideal,E,VVS2,61.4,56.0,766,4.36,4.4,2.69
27058,1.52,Ideal,F,SI1,62.2,56.0,11637,7.38,7.41,4.6
27059,0.9,Ideal,D,SI1,60.7,57.0,4304,6.23,6.16,3.76
27060,0.31,Ideal,D,VS2,61.2,55.0,942,4.42,4.37,2.69
27061,0.85,Ideal,I,VS1,61.9,56.0,3548,6.08,6.1,3.77
27062,0.37,Premium,G,VS2,59.3,60.0,649,4.67,4.71,2.78
27063,0.9,Premium,H,SI2,59.5,60.0,2927,6.32,6.29,3.75
27064,0.91,Very Good,D,SI2,63.4,59.0,3911,6.12,6.15,3.89
27065,1.01,Very Good,G,VS2,62.9,60.0,5779,6.28,6.35,3.97
27066,0.3,Premium,F,VVS2,61.6,58.0,945,4.35,4.28,2.66
27067,1.5,Premium,F,SI1,62.9,59.0,11878,7.34,7.29,4.6
27068,0.57,Ideal,I,VS1,61.0,56.0,1665,5.37,5.41,3.29
27069,0.71,Premium,D,VS2,62.1,60.0,3002,5.68,5.72,3.54
27070,0.41,Good,E,SI1,63.5,57.0,755,4.69,4.73,2.99
27071,0.34,Ideal,E,SI1,62.2,54.0,556,4.47,4.5,2.79
27072,0.32,Ideal,E,VS2,62.0,57.0,900,4.41,4.39,2.73
27073,0.3,Very Good,I,SI1,61.2,58.0,405,4.28,4.31,2.63
27074,1.01,Good,G,VVS2,62.4,59.0,7332,6.32,6.37,3.96
27075,0.42,Very Good,H,SI1,59.5,57.0,700,4.78,5.11,2.94
27076,1.21,Very Good,D,SI2,62.3,59.0,6125,6.74,6.78,4.21
27077,1.13,Premium,H,VS1,58.9,58.0,6005,6.81,6.78,4.0
27078,0.31,Ideal,G,VVS2,61.5,57.0,671,4.32,4.36,2.67
27079,1.5,Premium,J,VVS1,62.3,62.0,8568,7.23,7.16,4.48
27080,1.51,Good,D,VS1,63.7,55.0,17111,7.28,7.22,4.62
27081,0.28,Very Good,E,VS1,62.8,60.0,434,4.16,4.21,2.63
27082,0.25,Very Good,E,VVS2,62.0,56.0,560,4.05,4.08,2.52
27083,1.0,Premium,E,VS2,62.7,59.0,6720,6.38,6.31,3.98
27084,2.03,Good,G,SI2,62.7,65.0,13621,8.17,7.92,5.06
27085,1.51,Good,G,SI1,58.8,62.0,10216,7.4,7.49,4.38
27086,1.36,Very Good,J,SI2,62.6,58.0,5215,7.0,7.12,4.42
27087,0.5,Very Good,D,VS1,62.0,56.0,1750,5.09,5.11,3.16
27088,0.72,Very Good,F,VVS2,63.6,59.0,3420,5.65,5.7,3.61
27089,0.9,Ideal,E,SI2,61.7,56.0,4034,6.21,6.26,3.85
27090,2.0,Very Good,H,SI2,63.0,59.0,15694,7.94,8.07,5.04
27091,0.91,Premium,E,SI2,61.6,60.0,3743,6.14,6.1,3.77
27092,0.79,Very Good,F,SI1,61.5,58.0,3047,5.94,5.97,3.66
27093,0.7,Ideal,H,SI1,61.7,57.0,2375,5.7,5.68,3.51
27094,0.5,Ideal,D,VS1,62.4,53.7,2033,5.08,5.12,3.18
27095,0.74,Very Good,F,VVS2,61.5,55.1,3948,5.82,5.85,3.59
27096,1.13,Ideal,G,VS2,62.7,57.0,6525,6.65,6.68,4.18
27097,0.33,Premium,G,VS2,61.3,59.0,579,4.44,4.46,2.73
27098,1.08,Very Good,F,VS2,63.1,57.0,6319,6.56,6.5,4.12
27099,0.35,Ideal,I,VVS2,62.3,57.0,788,4.53,4.49,2.81
27100,0.21,Premium,E,SI2,61.9,56.0,394,3.84,3.82,2.37
27101,0.5,Premium,F,VS1,62.0,58.0,1710,5.03,5.1,3.14
27102,0.35,Ideal,F,VS2,62.5,57.0,706,4.5,4.53,2.82
27103,0.9,Very Good,D,SI2,60.6,61.0,3534,6.14,6.2,3.74
27104,0.7,Premium,F,SI2,62.9,57.0,2184,5.64,5.61,3.53
27105,0.3,Ideal,D,VS2,61.6,57.0,911,4.33,4.3,2.66
27106,0.65,Ideal,H,IF,61.5,55.0,3065,5.6,5.62,3.45
27107,0.77,Ideal,F,SI1,61.4,55.0,3169,5.93,5.95,3.65
27108,0.7,Very Good,I,SI2,60.9,59.0,1603,5.7,5.76,3.49
27109,0.7,Very Good,E,VS1,61.1,55.0,3061,5.72,5.77,3.51
27110,0.57,Ideal,F,VS1,61.9,56.0,2052,5.39,5.3,3.31
27111,1.13,Premium,G,VS1,58.6,59.0,7404,6.91,6.84,4.03
27112,0.41,Ideal,G,SI2,61.7,55.0,664,4.78,4.81,2.96
27113,0.5,Ideal,H,VS1,61.4,54.0,1370,5.13,5.16,3.16
27114,0.9,Good,E,SI1,60.8,65.0,3933,6.14,6.17,3.74
27115,1.01,Good,F,VS2,63.9,58.0,6446,6.39,6.32,4.06
27116,2.01,Very Good,J,VS2,62.1,60.0,12683,7.88,8.0,4.93
27117,0.7,Premium,H,SI1,60.9,62.0,2176,5.72,5.67,3.47
27118,1.54,Premium,H,VS2,62.1,62.0,11632,7.38,7.31,4.56
27119,1.16,Premium,D,SI2,62.5,60.0,5136,6.7,6.64,4.17
27120,0.3,Premium,G,VVS1,61.8,59.0,789,4.28,4.33,2.66
27121,0.52,Ideal,F,VVS2,62.5,57.0,2064,5.15,5.19,3.23
27122,0.53,Ideal,D,VS2,60.2,57.0,1956,5.26,5.24,3.16
27123,0.33,Ideal,E,VS2,62.1,56.0,723,4.43,4.46,2.76
27124,1.01,Ideal,J,VS2,62.2,54.0,4443,6.41,6.47,4.01
27125,0.31,Ideal,D,VS2,62.6,56.0,734,4.33,4.36,2.72
27126,0.31,Ideal,E,VVS2,61.6,56.0,1074,4.39,4.35,2.69
27127,0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44
27128,0.92,Good,D,SI1,63.1,58.0,4158,6.11,6.16,3.87
27129,1.01,Very Good,E,VVS2,63.1,57.0,8849,6.31,6.39,4.01
27130,1.1,Very Good,F,VS2,62.7,58.5,7272,6.5,6.59,4.1
27131,1.02,Ideal,E,VS2,60.2,56.0,7465,6.56,6.62,3.97
27132,0.5,Good,H,VVS1,63.3,57.0,1596,5.02,5.06,3.19
27133,1.01,Good,F,SI1,58.8,64.0,4989,6.58,6.51,3.85
27134,0.52,Ideal,E,SI1,60.7,55.0,1656,5.23,5.22,3.18
27135,0.5,Premium,I,SI2,59.8,56.0,900,5.23,5.18,3.11
27136,1.2,Ideal,I,SI1,62.5,57.0,5107,6.77,6.71,4.21
27137,0.71,Premium,H,VS2,62.2,59.0,2352,5.68,5.64,3.52
27138,1.55,Premium,J,VS2,60.7,59.0,8055,7.5,7.47,4.54
27139,1.01,Ideal,D,VVS2,61.7,57.0,10761,6.43,6.47,3.98
27140,0.5,Good,E,SI1,64.0,56.0,1155,5.03,4.97,3.2
27141,0.4,Ideal,E,VS1,62.3,56.0,1053,4.71,4.73,2.94
27142,1.03,Premium,I,SI1,58.4,60.0,3288,6.6,6.58,3.85
27143,0.34,Premium,F,VS2,61.2,59.0,686,4.47,4.52,2.75
27144,0.5,Ideal,G,VVS1,62.7,57.0,1966,5.07,5.1,3.19
27145,0.7,Ideal,E,VS1,60.5,56.0,3419,5.78,5.83,3.51
27146,0.7,Ideal,E,VS2,61.0,56.0,3376,5.76,5.79,3.52
27147,0.76,Premium,H,SI1,60.0,60.0,2425,5.8,5.76,3.76
27148,0.73,Ideal,F,SI1,62.6,55.0,2737,5.75,5.78,3.61
27149,1.25,Ideal,G,IF,60.6,57.0,11705,6.97,6.99,4.23
27150,1.12,Ideal,I,VS1,60.9,57.0,6060,6.7,6.73,4.09
27151,0.61,Ideal,D,VS2,62.0,56.0,2202,5.43,5.48,3.38
27152,0.33,Premium,I,VVS1,61.9,60.0,608,4.41,4.44,2.74
27153,0.41,Ideal,E,VVS2,62.3,58.0,1085,4.73,4.78,2.96
27154,0.31,Ideal,H,IF,61.2,56.0,789,4.36,4.4,2.68
27155,1.02,Fair,I,SI2,65.5,57.0,3802,6.19,6.24,4.07
27156,0.73,Very Good,H,SI1,59.5,58.0,2393,5.85,5.91,3.5
27157,0.92,Very Good,G,SI1,61.5,60.0,3817,6.19,6.26,3.83
27158,0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51
27159,0.27,Very Good,F,VVS1,62.0,58.0,620,4.18,4.21,2.6
27160,0.33,Ideal,F,VVS1,60.6,59.0,828,4.45,4.5,2.71
27161,0.81,Ideal,G,VS1,62.3,57.0,3544,5.99,5.95,3.72
27162,0.7,Very Good,F,VS2,60.9,61.0,2812,5.66,5.71,3.46
27163,1.01,Ideal,H,SI1,62.4,53.0,4559,6.42,6.47,4.02
27164,0.5,Premium,G,VS1,59.8,58.0,1624,5.15,5.19,3.09
27165,1.01,Good,I,VS2,62.5,59.0,4239,6.3,6.37,3.96
27166,0.79,Very Good,F,SI1,62.9,57.0,3519,5.86,5.94,3.71
27167,0.3,Ideal,F,IF,60.0,59.0,873,4.37,4.39,2.63
27168,1.2,Premium,H,SI2,62.5,58.0,4368,6.74,6.69,4.2
27169,0.46,Good,I,VVS1,63.5,57.0,1089,4.85,4.91,3.1
27170,0.7,Fair,I,VVS2,64.7,55.0,2117,5.62,5.51,3.6
27171,0.6,Ideal,F,VS2,62.1,57.0,1866,5.39,5.37,3.34
27172,0.71,Good,I,VS2,64.0,59.0,1748,5.55,5.61,3.57
27173,1.72,Very Good,I,SI2,63.4,57.0,8630,7.6,7.58,4.81
27174,0.33,Ideal,I,VVS1,61.7,55.7,570,4.43,4.45,2.74
27175,1.51,Good,J,VS1,63.5,60.0,7848,7.23,7.29,4.61
27176,1.01,Ideal,E,SI2,61.1,59.0,4787,6.53,6.47,3.97
27177,0.51,Premium,D,SI1,59.9,61.0,1574,5.18,5.14,3.09
27178,0.32,Ideal,D,VVS2,62.2,56.0,790,4.37,4.41,2.73
27179,1.2,Very Good,H,VS2,62.5,60.0,7072,6.72,6.78,4.22
27180,1.13,Premium,E,SI2,60.4,59.0,5220,6.7,6.75,4.06
27181,0.48,Ideal,F,VS2,62.4,54.0,1279,5.03,5.03,3.15
27182,1.24,Ideal,H,VS2,60.8,56.0,8257,6.92,6.96,4.22
27183,0.23,Very Good,F,VVS1,62.8,54.0,583,3.92,3.94,2.47
27184,0.35,Very Good,H,VVS1,61.2,60.0,798,4.5,4.55,2.77
27185,0.31,Ideal,D,VS2,62.1,55.0,636,4.32,4.38,2.7
27186,1.25,Ideal,G,SI1,62.5,54.0,6580,6.88,6.85,4.29
27187,0.51,Very Good,D,VS2,62.9,56.0,1597,5.07,5.1,3.2
27188,0.35,Premium,E,SI2,61.5,59.0,630,4.56,4.52,2.79
27189,0.52,Ideal,G,VVS2,61.9,55.0,1911,5.14,5.16,3.19
27190,2.01,Premium,H,SI2,61.6,58.0,16499,8.12,8.02,4.97
27191,0.7,Very Good,D,VVS1,63.4,59.0,4362,5.63,5.64,3.57
27192,1.23,Ideal,E,VVS2,61.7,57.0,12539,6.85,6.91,4.25
27193,0.36,Ideal,G,VVS1,62.8,57.0,1053,4.55,4.52,2.85
27194,1.0,Premium,D,SI1,62.1,61.0,5488,6.32,6.3,3.92
27195,0.51,Very Good,E,SI2,60.7,56.0,1104,5.17,5.21,3.15
27196,0.91,Good,E,SI2,63.1,61.0,3520,6.04,6.14,3.84
27197,1.14,Ideal,H,VVS2,61.9,56.0,7354,6.69,6.72,4.15
27198,1.0,Very Good,E,SI2,63.5,56.0,4704,6.38,6.31,4.03
27199,0.9,Premium,G,VS2,60.6,61.0,4079,6.19,6.13,3.73
27200,0.39,Ideal,D,VS1,61.8,57.0,979,4.68,4.7,2.9
27201,0.8,Premium,D,SI2,61.1,58.0,3082,5.94,5.9,3.62
27202,0.6,Very Good,E,VS2,62.9,59.0,2085,5.34,5.38,3.37
27203,1.29,Fair,H,I1,67.7,62.0,2596,6.69,6.59,4.5
27204,1.28,Very Good,H,VS1,61.2,55.0,8645,6.98,7.04,4.29
27205,0.57,Ideal,G,VVS2,60.5,56.0,1976,5.36,5.38,3.25
27206,1.2,Good,H,SI1,63.7,58.0,5779,6.72,6.68,4.27
27207,0.41,Ideal,E,VS1,61.8,55.0,1153,4.8,4.75,2.95
27208,1.01,Premium,G,VS2,62.4,58.0,5999,6.38,6.41,3.99
27209,1.51,Ideal,J,VS1,61.8,59.0,8678,7.36,7.39,4.56
27210,0.71,Ideal,F,VS1,62.6,57.0,3199,5.7,5.73,3.58
27211,0.9,Premium,F,SI2,61.4,58.0,3556,6.19,6.13,3.78
27212,1.32,Ideal,F,VS2,62.3,57.0,7983,7.06,6.97,4.37
27213,0.23,Good,D,VVS2,61.8,65.0,452,3.9,3.93,2.42
27214,0.9,Good,H,SI2,63.1,55.0,3024,6.08,6.13,3.85
27215,1.01,Very Good,G,VS1,60.9,60.0,6669,6.47,6.43,3.93
27216,1.0,Fair,G,SI1,65.2,62.0,3965,6.19,6.08,4.01
27217,1.03,Ideal,F,VS2,60.7,56.0,6662,6.58,6.56,3.99
27218,1.55,Ideal,J,VS2,61.7,55.0,8088,7.38,7.43,4.58
27219,1.24,Premium,G,VVS2,59.9,60.0,10202,6.98,7.0,4.19
27220,0.5,Fair,F,I1,57.5,66.0,827,5.3,5.17,3.01
27221,0.83,Very Good,F,SI1,61.9,58.0,3322,5.97,6.01,3.71
27222,0.41,Ideal,D,VS1,61.9,56.0,1427,4.76,4.8,2.96
27223,0.57,Very Good,E,SI2,58.8,57.3,1384,5.42,5.46,3.21
27224,1.58,Very Good,G,SI2,60.0,53.0,9037,7.59,7.64,4.57
27225,1.0,Fair,E,SI1,65.8,59.0,4798,6.07,6.15,4.02
27226,2.03,Premium,J,SI2,62.7,59.0,12268,8.02,8.08,5.05
27227,1.34,Premium,G,SI2,61.7,58.0,6464,7.04,7.1,4.36
27228,0.26,Ideal,H,SI1,62.2,54.0,397,4.1,4.13,2.56
27229,1.08,Ideal,G,VS1,62.0,55.0,6779,6.62,6.57,4.09
27230,0.31,Premium,G,VVS1,59.8,62.0,977,4.41,4.35,2.62
27231,0.53,Ideal,G,VS1,61.9,55.0,1695,5.22,5.25,3.24
27232,0.33,Very Good,G,VS1,61.3,57.0,681,4.47,4.49,2.75
27233,1.74,Premium,I,SI1,58.7,60.0,11020,7.9,7.84,4.62
27234,1.07,Ideal,G,VS2,61.9,55.0,7275,6.55,6.57,4.06
27235,0.9,Premium,J,SI1,62.8,59.0,2871,6.13,6.03,3.82
27236,2.02,Premium,I,SI2,59.4,59.0,14341,8.25,8.21,4.89
27237,1.13,Premium,H,VS2,61.7,56.0,5728,6.73,6.65,4.13
27238,0.42,Ideal,E,VVS1,62.3,57.0,1400,4.78,4.79,2.98
27239,0.33,Ideal,G,VVS1,62.3,55.0,1114,4.46,4.43,2.77
27240,0.39,Ideal,F,VS1,60.9,56.0,894,4.68,4.75,2.87
27241,1.07,Ideal,G,SI2,61.7,57.0,4421,6.55,6.59,4.05
27242,0.78,Very Good,F,SI2,58.3,62.0,2477,6.04,6.11,3.54
27243,1.01,Good,E,SI1,64.0,56.0,5646,6.33,6.36,4.06
27244,1.72,Very Good,F,SI1,63.2,61.0,13622,7.62,7.57,4.8
27245,0.31,Premium,D,VS2,60.7,59.0,734,4.35,4.38,2.65
27246,0.3,Good,E,SI1,63.6,57.0,526,4.22,4.24,2.69
27247,0.55,Ideal,E,SI1,60.6,56.0,1668,5.33,5.3,3.22
27248,0.56,Good,F,VS1,63.2,61.0,1712,5.2,5.28,3.3
27249,0.76,Good,G,SI1,57.7,63.0,2447,6.05,5.97,3.47
27250,1.01,Good,D,SI2,64.6,59.0,4468,6.23,6.3,4.05
27251,0.32,Ideal,E,VS2,62.1,55.0,900,4.4,4.36,2.72
27252,1.2,Very Good,G,SI1,61.9,58.0,7372,6.74,6.79,4.19
27253,1.0,Premium,F,SI1,61.9,60.0,5645,6.39,6.34,3.94
27254,1.7,Premium,H,VVS2,61.4,58.0,10337,7.66,7.62,4.69
27255,1.51,Good,J,VS2,59.5,61.0,7476,7.45,7.62,4.48
27256,0.32,Very Good,G,VS2,60.9,58.0,564,4.42,4.45,2.7
27257,0.7,Ideal,I,VS1,62.1,57.0,2398,5.69,5.71,3.54
27258,0.24,Very Good,E,VVS1,62.2,59.0,552,3.99,4.02,2.49
27259,0.3,Ideal,F,IF,61.1,58.0,886,4.32,4.36,2.65
27260,2.01,Very Good,F,SI2,63.3,59.0,11925,7.98,7.89,5.02
27261,1.08,Ideal,H,SI1,62.2,57.0,4333,6.56,6.6,4.09
27262,0.39,Ideal,E,VS2,61.4,55.0,734,4.76,4.81,2.94
27263,2.01,Very Good,J,SI2,63.3,56.0,10490,7.86,7.96,5.01
27264,0.76,Ideal,I,VS2,61.8,56.0,3577,5.85,5.89,3.63
27265,2.33,Very Good,H,SI2,63.2,56.0,13500,8.44,8.35,5.31
27266,1.51,Ideal,G,VVS2,60.5,56.0,15164,7.42,7.45,4.5
27267,1.57,Very Good,H,SI2,58.6,62.0,9077,7.71,7.64,4.5
27268,0.3,Ideal,G,VS2,61.8,56.0,507,4.29,4.32,2.66
27269,0.7,Good,E,VS1,63.6,58.0,3175,5.67,5.62,3.59
27270,0.3,Ideal,H,VVS1,61.2,57.0,655,4.3,4.39,2.66
27271,0.77,Premium,D,VS1,62.1,57.0,3644,5.85,5.8,3.62
27272,0.4,Very Good,F,SI1,62.0,56.0,737,4.72,4.77,2.94
27273,1.3,Ideal,G,VS2,62.3,55.0,9540,7.0,6.93,4.34
27274,0.7,Very Good,G,VVS1,63.1,56.0,3073,5.64,5.67,3.57
27275,1.27,Premium,I,VS1,62.2,59.0,6415,6.87,6.92,4.29
27276,0.85,Fair,H,I1,71.2,54.0,1274,5.77,5.65,4.07
27277,1.11,Ideal,H,SI2,63.5,60.0,4538,6.58,6.49,4.15
27278,0.97,Ideal,I,I1,61.6,53.0,2239,6.4,6.43,3.95
27279,0.34,Ideal,G,VS2,61.4,57.0,765,4.51,4.48,2.76
27280,0.5,Ideal,D,SI2,62.3,54.0,1250,5.11,5.06,3.17
27281,1.74,Ideal,H,SI1,61.9,55.0,12605,7.71,7.74,4.78
27282,0.4,Ideal,F,VVS1,62.5,57.0,1263,4.72,4.75,2.96
27283,1.0,Good,E,SI2,62.1,61.0,4307,6.36,6.4,3.96
27284,1.07,Good,F,VS2,57.6,60.0,6828,6.83,6.79,3.92
27285,0.31,Ideal,E,VS2,61.8,55.0,680,4.33,4.35,2.68
27286,1.05,Ideal,E,VVS2,62.4,56.0,9146,6.52,6.49,4.06
27287,1.09,Ideal,H,SI1,62.4,55.0,4784,6.59,6.68,4.14
27288,0.3,Very Good,H,SI1,62.9,58.0,421,4.22,4.24,2.66
27289,0.9,Good,G,SI2,61.8,56.0,3253,6.11,6.16,3.79
27290,1.19,Premium,D,SI2,58.8,58.0,5504,7.04,6.9,4.1
27291,0.73,Fair,F,SI2,53.4,65.0,2164,6.19,6.15,3.3
27292,0.41,Ideal,G,VVS2,61.1,55.0,1007,4.8,4.83,2.94
27293,1.25,Very Good,J,VS1,61.8,58.0,5628,6.89,6.93,4.27
27294,1.5,Ideal,I,VS1,62.2,54.0,10406,7.33,7.4,4.57
27295,0.4,Premium,H,SI1,62.1,62.0,855,4.73,4.7,2.93
27296,0.52,Premium,G,VS2,61.7,58.0,1577,5.16,5.14,3.18
27297,1.02,Very Good,J,SI2,62.6,60.0,3534,6.39,6.42,4.01
27298,0.71,Premium,F,VVS1,60.9,58.0,3604,5.76,5.8,3.52
27299,1.17,Ideal,H,SI2,61.4,56.0,5373,6.83,6.76,4.17
27300,0.52,Ideal,E,VS1,62.6,57.0,1668,5.11,5.15,3.21
27301,0.37,Premium,G,VS2,59.3,60.0,833,4.71,4.67,2.78
27302,1.15,Very Good,H,VS2,62.4,56.0,5646,6.66,6.68,4.16
27303,0.51,Premium,E,VS1,61.6,57.0,1989,5.13,5.1,3.15
27304,0.35,Premium,D,VS2,61.9,58.0,829,4.51,4.6,2.82
27305,1.02,Good,G,SI2,59.9,58.0,4159,6.48,6.55,3.9
27306,1.58,Ideal,F,SI1,61.9,55.0,14495,7.52,7.47,4.64
27307,2.01,Ideal,F,SI2,61.7,56.0,18394,8.12,8.16,5.02
27308,0.32,Good,D,SI1,63.2,54.0,589,4.36,4.38,2.76
27309,0.31,Fair,F,VVS1,63.1,61.0,740,4.32,4.37,2.74
27310,1.06,Ideal,H,SI2,61.7,60.0,4547,6.53,6.51,4.02
27311,0.82,Premium,E,SI2,61.7,59.0,2861,6.01,5.98,3.7
27312,0.9,Very Good,E,SI2,63.1,54.0,3084,6.2,6.17,3.9
27313,0.31,Ideal,G,VVS1,62.1,55.0,789,4.33,4.36,2.7
27314,1.31,Very Good,I,SI1,62.6,59.0,6686,6.97,6.86,4.33
