,carat,cut,color,clarity,depth,table,price,x,y,z
34,2.0,Premium,F,SI2,60.6,62.0,11198,8.19,7.84,4.86
35,0.3,Very Good,F,IF,62.6,55.0,886,4.3,4.32,2.7
36,0.38,Ideal,E,VS1,62.2,54.1,1133,4.63,4.65,2.89
37,1.0,Very Good,E,SI2,59.5,63.0,4077,6.47,6.41,3.83
38,0.31,Ideal,G,IF,61.9,56.0,871,4.33,4.35,2.68
39,1.0,Good,I,VS1,63.8,56.0,4202,6.35,6.32,4.04
40,1.02,Ideal,F,SI2,62.6,56.0,4851,6.38,6.44,4.01
41,0.5,Very Good,G,VS1,63.2,59.0,1580,5.03,5.07,3.19
42,0.41,Ideal,H,VS1,61.9,56.0,827,4.75,4.78,2.95
43,0.36,Ideal,D,VVS1,61.5,55.0,1718,4.61,4.63,2.84
44,0.7,Good,H,SI2,62.8,57.0,1790,5.58,5.66,3.53
45,1.27,Ideal,J,SI2,62.6,57.0,4693,6.85,6.88,4.3
46,1.5,Good,H,SI1,64.3,60.0,9768,7.14,7.23,4.62
47,1.01,Good,G,SI1,63.5,64.0,4538,6.41,6.28,4.03
48,0.35,Ideal,H,IF,61.7,56.0,921,4.53,4.55,2.8
49,0.36,Ideal,J,VVS2,61.7,55.0,525,4.61,4.63,2.85
50,1.27,Premium,I,SI2,61.4,59.0,5249,6.98,6.94,4.27
51,0.33,Premium,E,VS2,61.0,60.0,723,4.43,4.46,2.71
52,0.58,Ideal,E,VS1,62.2,55.0,2041,5.38,5.42,3.36
53,1.08,Premium,H,VS2,62.4,58.0,5250,6.56,6.49,4.07
54,0.32,Ideal,D,VS1,60.9,57.0,1114,4.48,4.45,2.72
55,0.56,Ideal,H,IF,61.3,56.0,2135,5.32,5.35,3.27
56,0.7,Ideal,G,VVS2,61.6,57.0,3725,5.74,5.71,3.53
57,0.42,Premium,G,VS2,59.8,58.0,847,4.86,4.9,2.92
58,0.9,Good,D,SI2,63.8,58.0,3806,6.09,6.13,3.9
59,0.5,Very Good,G,SI1,60.6,56.0,1202,5.13,5.16,3.12
60,0.33,Ideal,I,VS1,61.7,55.0,573,4.44,4.47,2.75
61,2.0,Good,F,SI1,63.0,64.0,17869,7.67,7.76,4.86
62,0.51,Ideal,F,VVS2,62.4,57.0,2203,5.12,5.08,3.18
63,1.53,Ideal,H,SI2,59.6,57.0,5631,7.46,7.38,4.42
64,0.73,Fair,D,SI2,65.5,60.0,2147,5.64,5.54,3.66
65,1.32,Ideal,H,VVS1,62.1,55.0,9572,6.98,7.03,4.35
66,1.11,Ideal,F,VS2,61.7,55.0,7473,6.65,6.67,4.11
67,1.49,Very Good,H,VS2,62.7,60.0,9552,7.24,7.31,4.56
68,0.29,Good,E,VVS2,63.2,60.0,617,4.17,4.19,2.64
69,0.9,Good,J,VS2,63.9,58.0,3024,6.15,6.08,3.91
70,0.58,Ideal,F,VVS2,62.0,56.0,2509,5.32,5.36,3.31
71,0.9,Premium,H,SI1,62.8,62.0,3387,6.09,6.05,3.81
72,2.08,Ideal,I,SI2,62.3,56.0,15132,8.16,8.22,5.1
73,0.42,Ideal,J,VS1,60.9,57.0,851,4.86,4.83,2.95
74,0.56,Ideal,F,VS1,62.7,56.0,1787,5.25,5.3,3.31
75,0.58,Very Good,G,SI1,59.3,59.0,1408,5.46,5.51,3.25
76,2.04,Very Good,I,SI2,60.9,57.0,14527,8.14,8.19,4.97
77,0.75,Ideal,E,SI1,61.4,55.0,3049,5.8,5.86,3.58
78,0.31,Ideal,D,VS2,62.1,54.0,942,4.36,4.34,2.7
79,0.7,Very Good,F,VS2,60.5,57.0,2400,5.74,5.79,3.49
80,0.41,Ideal,E,VS1,62.3,53.0,863,4.74,4.76,2.96
81,0.32,Very Good,E,VS1,62.9,57.0,661,4.36,4.39,2.75
82,0.91,Good,G,SI1,64.3,60.0,3344,6.04,6.12,3.91
83,0.52,Ideal,G,VVS2,61.8,57.0,2012,5.19,5.14,3.19
84,1.2,Ideal,F,VS1,62.1,58.0,10367,6.78,6.84,4.23
85,0.4,Very Good,D,VS2,60.5,58.0,720,4.76,4.82,2.9
86,0.31,Ideal,E,VS2,62.9,57.0,872,4.35,4.3,2.72
87,0.3,Very Good,G,VS1,62.9,60.0,605,4.26,4.29,2.69
88,0.9,Fair,I,VS1,65.2,60.0,3387,6.0,5.96,3.9
89,1.01,Good,E,SI1,63.2,59.0,4619,6.25,6.28,3.96
90,1.09,Premium,H,VS2,61.2,58.0,5005,6.63,6.58,4.03
91,0.55,Ideal,H,VVS2,61.9,56.0,1668,5.22,5.25,3.24
92,0.9,Ideal,G,SI1,62.1,56.0,4161,6.16,6.2,3.84
93,2.06,Ideal,I,SI2,62.4,55.0,14120,8.1,8.14,5.07
94,0.35,Ideal,D,VS2,61.6,56.0,1063,4.56,4.53,2.8
95,0.42,Very Good,E,VS2,61.9,59.0,958,4.75,4.81,2.96
96,0.37,Premium,G,VS1,59.2,61.0,957,4.7,4.63,2.76
97,0.26,Very Good,F,VVS1,61.3,58.0,562,4.13,4.16,2.54
98,0.99,Ideal,F,VS1,61.0,55.0,5947,6.46,6.52,3.96
99,0.4,Good,F,VS1,63.1,59.0,877,4.64,4.68,2.94
100,0.52,Ideal,F,SI1,62.0,55.0,1383,5.14,5.17,3.19
101,1.23,Good,I,VS1,63.6,59.0,5940,6.85,6.76,4.33
102,0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58
103,0.7,Very Good,E,VVS1,62.5,56.0,3724,5.63,5.7,3.54
104,0.57,Ideal,E,VS2,61.8,55.0,1851,5.34,5.38,3.31
105,0.59,Ideal,H,VVS1,62.1,55.0,2193,5.38,5.41,3.35
106,0.52,Ideal,E,VVS2,61.3,56.0,2675,5.18,5.2,3.18
107,0.54,Ideal,I,SI1,62.0,55.0,1057,5.21,5.25,3.24
108,2.05,Premium,G,SI1,61.6,59.0,15291,8.2,8.16,5.04
109,0.83,Premium,F,VS2,60.2,60.0,3495,6.09,6.04,3.65
110,0.71,Very Good,G,SI1,61.7,59.0,2448,5.72,5.78,3.55
111,2.02,Very Good,H,SI1,63.4,60.0,17672,7.96,8.04,5.07
112,1.53,Ideal,H,SI1,59.8,59.0,10063,7.48,7.54,4.49
113,0.64,Very Good,F,SI1,60.7,59.0,1688,5.51,5.59,3.37
114,0.94,Premium,E,SI1,60.0,58.0,4661,6.37,6.44,3.84
115,0.72,Ideal,F,VS1,62.5,54.0,3330,5.73,5.76,3.59
116,0.32,Ideal,H,VS2,61.5,56.0,648,4.4,4.38,2.7
117,0.93,Very Good,G,SI2,62.7,57.0,3738,6.21,6.26,3.91
118,0.75,Ideal,E,SI2,61.7,55.0,2609,5.9,5.86,3.63
119,0.38,Ideal,F,I1,62.5,57.0,638,4.64,4.61,2.89
120,0.3,Ideal,E,VS2,62.6,54.0,658,4.29,4.33,2.7
121,0.6,Ideal,D,VVS2,61.9,55.0,3382,5.41,5.45,3.36
122,0.3,Ideal,G,IF,62.0,54.0,863,4.33,4.35,2.69
123,1.0,Ideal,H,VS2,61.2,60.0,6133,6.4,6.45,3.93
124,0.93,Ideal,F,SI2,61.9,57.0,3941,6.21,6.25,3.86
125,0.56,Premium,D,SI1,61.0,60.0,1605,5.28,5.25,3.21
126,0.31,Premium,G,VVS2,62.2,59.0,707,4.32,4.36,2.7
127,0.3,Good,G,VVS2,63.2,57.0,684,4.23,4.28,2.69
128,0.56,Ideal,G,VS1,62.0,56.0,1822,5.28,5.3,3.28
129,0.65,Ideal,E,VVS2,62.1,57.0,3023,5.55,5.6,3.46
130,1.0,Fair,F,SI1,64.8,58.0,4586,6.26,6.21,4.04
131,1.01,Very Good,E,VS2,63.3,58.0,6516,6.38,6.35,4.03
132,0.4,Very Good,F,IF,61.1,57.0,1217,4.73,4.77,2.9
133,1.42,Fair,G,VS2,59.6,66.0,7214,7.31,7.23,4.33
134,1.5,Premium,E,SI2,61.2,59.0,10080,7.41,7.36,4.52
135,2.02,Very Good,H,VS2,62.7,58.0,18398,7.96,8.01,5.01
136,0.79,Very Good,D,VS1,62.4,60.0,4213,5.86,5.88,3.66
137,0.61,Ideal,H,VVS1,60.3,56.0,2237,5.52,5.55,3.34
138,0.52,Ideal,F,IF,60.3,57.0,2504,5.23,5.28,3.17
139,0.32,Premium,E,SI2,61.2,58.0,449,4.39,4.44,2.7
140,0.41,Ideal,D,VS1,62.8,57.0,1230,4.76,4.73,2.98
141,1.02,Ideal,G,VVS1,62.6,56.0,8485,6.39,6.42,4.01
142,1.02,Very Good,H,SI2,60.9,58.0,4039,6.41,6.53,3.94
143,0.8,Ideal,H,SI1,62.4,57.0,2553,5.97,5.95,3.72
144,1.0,Good,F,VS2,63.3,55.0,6267,6.29,6.34,4.0
145,0.24,Ideal,F,VVS1,62.0,56.0,678,3.99,4.01,2.48
146,1.01,Premium,I,SI2,60.5,60.0,4072,6.52,6.5,3.94
147,0.38,Very Good,I,SI2,62.7,58.0,500,4.57,4.61,2.88
148,0.37,Ideal,G,VS2,62.5,53.0,668,4.6,4.61,2.88
149,1.08,Premium,F,SI2,60.2,59.0,4488,6.65,6.6,3.99
150,0.43,Very Good,D,SI2,63.4,57.0,858,4.81,4.78,3.04
151,1.0,Fair,F,SI1,66.7,57.0,3669,6.07,5.99,4.02
152,1.0,Premium,F,VS2,61.9,59.0,5606,6.38,6.34,3.94
153,0.5,Premium,F,VS1,62.3,55.0,1838,5.09,5.06,3.16
154,0.32,Ideal,H,VS2,61.5,57.0,534,4.41,4.45,2.72
155,1.2,Premium,D,SI2,60.2,60.0,4203,6.94,6.81,4.14
156,1.17,Ideal,G,SI2,62.0,55.0,5012,6.81,6.74,4.2
157,0.71,Ideal,E,SI1,61.1,57.0,3128,5.75,5.77,3.52
158,0.4,Good,I,VVS1,63.9,56.0,842,4.64,4.68,2.98
159,1.51,Ideal,H,VS2,60.6,57.0,11540,7.46,7.45,4.52
160,1.21,Good,E,VS2,62.7,61.0,9176,6.67,6.72,4.2
161,0.73,Ideal,G,SI1,60.9,57.0,3089,5.81,5.85,3.55
162,0.33,Ideal,H,IF,61.8,54.0,838,4.47,4.49,2.77
163,0.32,Very Good,G,SI1,60.9,56.0,477,4.41,4.45,2.7
164,1.14,Premium,G,VS2,61.4,60.0,7079,6.71,6.68,4.11
165,0.54,Ideal,E,VS2,62.2,55.0,1847,5.24,5.21,3.25
166,1.14,Ideal,D,VS1,59.8,57.0,9193,6.83,6.74,4.06
167,2.1,Fair,G,SI2,65.2,56.0,13007,7.97,7.93,5.19
168,1.0,Premium,E,SI1,61.9,60.0,5445,6.37,6.46,3.97
169,0.4,Good,E,SI2,61.2,61.0,588,4.71,4.74,2.89
170,1.55,Ideal,E,SI2,62.3,55.0,6901,7.44,7.37,4.61
171,0.32,Premium,H,VVS1,61.5,59.0,730,4.37,4.41,2.7
172,2.02,Ideal,F,SI2,61.3,57.0,16290,8.11,8.16,4.99
173,0.5,Good,F,SI1,57.9,62.0,1231,5.21,5.18,3.01
174,1.51,Ideal,I,VS2,61.6,54.0,9891,7.38,7.42,4.57
175,0.55,Ideal,D,VS2,62.8,57.0,1894,5.27,5.24,3.3
176,1.01,Premium,D,VS1,61.8,54.0,8201,6.44,6.38,3.96
177,0.71,Very Good,G,SI1,60.2,58.0,2604,5.71,5.75,3.45
178,0.56,Very Good,G,VS1,59.9,60.0,1912,5.37,5.41,3.23
179,0.31,Very Good,H,VS2,60.5,63.0,628,4.37,4.33,2.63
180,0.51,Ideal,D,IF,62.0,56.0,3446,5.14,5.18,3.2
181,1.5,Premium,G,VS1,61.2,59.0,14234,7.36,7.32,4.49
182,1.5,Ideal,E,SI1,62.3,57.0,10214,7.33,7.28,4.55
183,0.5,Good,G,VVS2,63.8,56.0,1806,5.06,5.03,3.22
184,0.23,Very Good,F,VVS2,60.0,57.0,530,4.0,4.04,2.41
185,0.35,Ideal,E,VVS1,60.7,57.0,1044,4.53,4.57,2.76
186,0.63,Ideal,E,VS2,60.8,57.0,2513,5.53,5.55,3.37
187,0.56,Premium,F,VS2,60.5,59.0,1935,5.42,5.33,3.25
188,0.33,Ideal,D,VS2,61.8,56.0,781,4.45,4.48,2.76
189,1.4,Very Good,F,VS2,60.0,58.0,10790,7.24,7.29,4.36
190,1.57,Premium,I,VS2,62.5,58.0,9847,7.5,7.42,4.66
191,0.77,Very Good,H,VS2,63.0,57.0,2513,5.79,5.87,3.67
192,0.63,Very Good,F,VS1,59.2,57.0,2149,5.56,5.66,3.32
193,1.0,Ideal,D,VS2,62.2,54.0,8008,6.45,6.42,4.0
194,0.28,Very Good,E,VS2,62.7,58.0,487,4.15,4.18,2.61
195,0.79,Very Good,E,SI2,59.2,59.0,2941,6.04,6.06,3.58
196,0.5,Ideal,H,VS2,61.7,55.0,1626,5.11,5.14,3.16
197,1.58,Premium,G,VS1,62.1,59.0,12645,7.46,7.43,4.62
198,1.54,Very Good,I,VVS2,62.7,57.0,10518,7.35,7.43,4.63
199,0.42,Very Good,F,VS1,61.9,55.0,1031,4.78,4.82,2.97
200,0.54,Premium,F,VS2,58.9,59.0,1667,5.37,5.32,3.15
201,0.41,Premium,D,SI2,61.9,58.0,876,4.73,4.71,2.92
202,0.53,Very Good,F,VS1,60.6,57.0,1607,5.21,5.25,3.17
203,0.23,Very Good,E,VS2,60.5,58.0,402,3.92,3.95,2.38
204,0.9,Ideal,I,SI1,60.8,57.0,3308,6.22,6.25,3.79
205,0.56,Fair,E,SI1,64.5,61.0,1358,5.22,5.09,3.33
206,0.7,Ideal,I,VS1,62.7,57.0,2163,5.63,5.67,3.54
207,2.03,Premium,J,SI2,60.9,60.0,12078,8.21,8.1,4.97
208,0.93,Good,D,SI2,63.4,59.0,3540,6.15,6.18,3.91
209,0.43,Ideal,G,SI2,62.3,53.0,696,4.84,4.86,3.02
210,1.0,Good,F,SI2,63.4,60.0,3801,6.28,6.33,4.0
211,1.01,Very Good,F,SI2,62.4,58.0,4416,6.37,6.41,3.99
212,0.56,Ideal,D,VS2,61.0,57.0,2066,5.35,5.28,3.24
213,0.53,Premium,F,VS1,59.4,58.0,1766,5.32,5.28,3.15
214,0.72,Very Good,E,VS2,63.0,58.0,3065,5.69,5.73,3.6
215,0.38,Ideal,G,SI1,61.2,58.0,688,4.64,4.67,2.85
216,0.31,Premium,I,SI1,59.6,58.0,418,4.39,4.44,2.63
217,0.9,Very Good,F,SI1,63.4,62.0,3992,6.05,6.0,3.82
218,0.4,Premium,E,SI1,62.9,59.0,882,4.72,4.69,2.96
219,0.91,Premium,E,SI1,61.9,61.0,4138,6.12,6.1,3.78
220,1.01,Very Good,H,VS2,61.0,63.0,5050,6.41,6.38,3.9
221,0.7,Very Good,E,SI2,62.6,57.0,2514,5.64,5.67,3.54
222,2.0,Very Good,J,SI1,61.9,59.0,11404,7.96,8.0,4.94
223,0.5,Fair,H,SI1,64.9,54.0,1094,5.01,4.98,3.24
224,1.03,Ideal,G,SI2,62.1,57.0,4470,6.44,6.42,3.99
225,2.02,Premium,H,VS2,62.7,53.0,18207,8.02,7.95,0.0
226,0.24,Ideal,F,VVS1,61.1,56.0,963,4.01,4.05,2.47
227,1.0,Very Good,G,VVS2,63.1,58.0,7589,6.37,6.33,4.01
228,0.41,Premium,D,VS2,61.8,58.0,846,4.76,4.79,2.95
229,0.58,Ideal,D,VVS1,62.1,55.0,3732,5.33,5.37,3.32
230,1.55,Premium,E,SI1,60.1,58.0,11871,7.55,7.5,4.52
231,2.04,Premium,I,VS2,61.0,61.0,16768,8.14,8.08,4.95
232,0.3,Premium,D,VS2,61.7,59.0,911,4.28,4.25,2.63
233,0.4,Ideal,H,SI1,62.1,55.0,705,4.73,4.77,2.95
234,0.57,Ideal,E,VS1,60.5,57.0,1884,5.33,5.38,3.24
235,0.72,Very Good,E,VVS2,60.5,55.0,3798,5.82,5.85,3.53
236,0.56,Very Good,E,VS1,62.0,58.9,2027,5.25,5.29,3.27
237,1.0,Premium,H,VS2,62.4,59.0,5404,6.75,6.72,4.2
238,0.31,Ideal,G,VS1,62.3,54.0,600,4.35,4.38,2.72
239,0.36,Very Good,E,VS1,60.6,58.0,894,4.61,4.63,2.8
240,0.35,Ideal,F,VS2,62.3,55.0,906,4.56,4.53,2.83
241,0.71,Ideal,D,VS2,63.0,56.0,3245,5.69,5.65,3.58
242,0.78,Good,D,VS2,64.0,54.0,3298,5.82,5.86,3.74
243,0.51,Ideal,E,VS2,61.4,57.0,1656,5.13,5.16,3.16
244,1.05,Ideal,E,VS1,62.6,57.0,7762,6.5,6.44,4.05
245,1.5,Fair,H,SI1,65.9,56.0,7211,7.11,7.04,4.66
246,0.42,Ideal,G,VVS1,61.6,55.0,1235,4.85,4.82,2.98
247,0.41,Ideal,F,VS2,60.9,57.0,863,4.74,4.78,2.9
248,0.64,Ideal,D,VS2,60.7,59.0,2224,5.58,5.62,3.4
249,1.58,Premium,E,VS2,60.1,60.0,14453,7.53,7.54,4.53
250,0.32,Ideal,E,SI1,62.2,54.0,516,4.38,4.4,2.73
251,1.0,Good,H,SI2,63.9,55.0,3584,6.41,6.34,4.07
252,0.43,Ideal,G,VVS2,61.9,55.0,1056,4.84,4.86,3.0
253,1.01,Ideal,E,SI2,61.7,57.0,4044,6.5,6.47,4.0
254,0.41,Premium,G,VS1,61.9,60.0,899,4.7,4.76,2.93
255,0.77,Ideal,H,VS2,60.9,56.0,3332,5.89,5.94,3.61
256,1.28,Ideal,E,IF,60.7,57.0,18700,7.09,6.99,4.27
257,1.12,Good,F,VS2,63.8,57.0,7051,6.61,6.59,4.21
258,0.31,Ideal,E,VVS1,61.0,57.0,903,4.39,4.37,2.67
259,0.31,Ideal,G,VS1,61.4,56.0,802,4.37,4.36,2.68
260,1.4,Ideal,H,SI2,61.2,56.0,7084,7.18,7.23,4.41
261,0.92,Premium,I,SI1,60.7,58.0,3529,6.3,6.25,3.81
262,0.35,Ideal,E,VVS2,61.0,57.0,849,4.54,4.58,2.78
263,1.13,Ideal,F,SI1,59.7,57.0,5342,6.82,6.79,4.06
264,0.7,Ideal,D,SI2,60.6,56.6,2575,5.75,5.77,3.49
265,1.3,Premium,G,VVS2,60.2,58.0,10763,7.17,7.08,4.29
266,0.55,Ideal,H,SI2,61.4,55.0,959,5.27,5.29,3.24
267,1.5,Premium,I,SI1,62.3,57.0,7955,7.28,7.22,4.52
268,0.72,Premium,F,VVS2,61.1,58.0,3250,5.78,5.84,3.55
269,0.52,Good,F,VS1,61.0,61.0,1419,5.22,5.17,3.17
270,1.1,Very Good,F,VS2,61.1,57.0,6987,6.65,6.71,4.08
271,0.31,Ideal,G,VS2,62.4,54.0,698,4.39,4.36,2.73
272,1.03,Very Good,G,SI1,62.6,56.0,5024,6.41,6.44,4.02
273,1.0,Ideal,J,VS1,62.3,56.0,4144,6.43,6.38,3.99
274,0.32,Ideal,E,VVS1,62.5,56.0,1044,4.42,4.38,2.75
275,0.33,Ideal,D,VS2,61.9,53.0,781,4.46,4.49,2.77
276,1.29,Premium,H,SI1,61.6,57.0,6588,7.02,6.97,4.31
277,0.3,Premium,H,VS2,62.5,59.0,608,4.28,4.23,2.66
278,0.31,Ideal,G,VS2,61.4,56.0,544,4.34,4.36,2.67
279,1.02,Very Good,H,SI1,58.4,62.0,4518,6.55,6.61,3.84
280,1.2,Premium,H,VS2,62.4,59.0,6416,6.73,6.69,4.19
281,0.35,Premium,I,VS2,62.9,57.0,630,4.53,4.5,2.84
282,0.32,Premium,G,VVS2,62.3,58.0,730,4.35,4.38,2.72
283,0.31,Ideal,E,VS1,60.4,57.0,734,4.37,4.4,2.65
284,1.1,Ideal,G,SI1,62.2,56.6,5868,6.56,6.6,4.09
285,1.02,Good,G,VS2,63.2,57.0,6058,6.38,6.41,4.04
286,0.93,Ideal,J,VS1,62.3,56.0,3281,6.26,6.22,3.89
287,0.95,Premium,F,SI1,62.3,60.0,4682,6.3,6.26,3.91
288,1.04,Very Good,G,SI2,60.9,58.0,4200,6.52,6.58,3.99
289,0.96,Premium,I,VS2,60.6,60.0,3808,6.47,6.4,3.9
290,0.31,Ideal,E,VS1,60.5,60.0,682,4.37,4.39,2.65
291,0.51,Ideal,F,VS2,63.2,57.0,1687,5.08,5.05,3.2
292,0.7,Ideal,G,SI1,61.9,58.0,2567,5.66,5.69,3.51
293,0.9,Ideal,G,VS2,62.7,56.0,4133,6.25,6.15,3.89
294,0.32,Very Good,G,IF,62.1,53.0,918,4.4,4.45,2.75
295,1.2,Ideal,I,VVS2,61.5,57.0,6581,6.91,6.82,4.22
296,0.31,Ideal,D,VS1,61.6,55.0,713,4.3,4.33,2.66
297,1.74,Good,H,SI1,60.6,62.0,12032,7.74,7.8,4.71
298,0.23,Premium,E,VVS1,58.6,61.0,680,4.04,4.02,2.36
299,0.41,Premium,E,SI2,62.9,58.0,876,4.77,4.74,2.99
300,0.25,Ideal,F,VS1,61.8,56.0,595,4.07,4.09,2.52
301,0.3,Ideal,G,VS1,61.4,55.0,605,4.31,4.36,2.66
302,1.51,Premium,G,VS1,63.0,59.0,12085,7.24,7.19,4.55
303,0.91,Fair,J,SI1,66.3,56.0,2390,5.92,5.99,3.95
304,0.7,Very Good,I,VS1,63.1,54.0,2129,5.61,5.67,3.56
305,0.26,Ideal,E,VVS1,62.5,56.0,657,4.09,4.12,2.56
306,1.22,Ideal,G,SI2,62.9,56.0,5436,6.86,6.78,4.29
307,0.4,Premium,H,VVS2,60.9,58.0,1125,4.79,4.74,2.9
308,1.0,Premium,D,SI2,62.2,61.0,4626,6.36,6.3,3.94
309,2.33,Premium,J,SI1,61.1,58.0,11638,8.6,8.56,5.24
310,0.58,Ideal,D,VVS2,62.1,57.0,2617,5.32,5.4,3.32
311,0.31,Ideal,E,VVS1,61.7,56.0,890,4.38,4.41,2.71
312,0.33,Very Good,F,SI1,62.8,58.0,550,4.4,4.42,2.77
313,0.83,Very Good,I,VS2,62.0,55.0,2915,6.03,6.06,3.74
314,0.57,Very Good,G,VS2,62.6,55.0,1608,5.26,5.31,3.31
315,0.9,Very Good,D,SI1,62.7,56.0,4381,6.12,6.16,3.85
316,1.0,Very Good,H,VS2,63.3,60.0,4514,6.31,6.22,3.97
317,0.3,Ideal,D,VS2,62.3,54.0,710,4.29,4.34,2.69
318,1.73,Fair,H,SI2,65.9,58.0,6007,7.52,7.45,4.93
319,0.42,Ideal,F,SI1,61.9,54.0,838,4.87,4.83,3.0
320,1.51,Very Good,F,VS1,60.0,60.0,16402,7.39,7.42,4.44
321,0.7,Very Good,G,SI1,63.5,61.0,2184,5.64,5.61,3.57
322,0.41,Ideal,G,VS1,61.6,57.0,899,4.74,4.77,2.93
323,1.1,Very Good,D,VS1,59.7,58.0,9901,6.69,6.72,4.0
324,1.26,Ideal,G,VVS2,61.4,55.0,12066,6.96,6.99,4.29
325,0.3,Ideal,E,VVS2,61.9,58.0,766,4.27,4.29,2.65
326,1.06,Premium,I,SI1,61.9,57.0,4452,6.61,6.51,4.06
327,0.9,Good,J,SI2,63.9,56.0,2717,6.17,6.1,3.92
328,0.4,Very Good,E,SI1,62.0,61.0,687,4.67,4.71,2.91
329,1.01,Very Good,E,VS2,63.5,58.0,6787,6.36,6.34,4.03
330,1.17,Premium,G,VS1,60.6,60.0,7666,6.81,6.79,4.12
331,1.05,Premium,D,SI1,61.6,61.0,5351,6.55,6.5,4.02
332,0.6,Ideal,E,VS1,62.2,56.0,2306,5.36,5.44,3.36
333,0.31,Ideal,G,VVS2,62.1,56.0,907,4.33,4.27,2.67
334,0.86,Ideal,I,VS2,63.0,53.0,2706,6.1,6.06,3.83
335,0.4,Very Good,D,VVS2,61.4,58.3,1359,4.73,4.74,2.9
336,0.54,Ideal,F,VVS1,60.5,55.0,2356,5.31,5.33,3.22
337,0.33,Ideal,H,IF,61.9,55.0,868,4.42,4.44,2.74
338,1.0,Good,G,VS2,63.7,59.0,5645,6.38,6.33,4.05
339,1.13,Ideal,D,VS1,61.2,57.0,11477,6.7,6.72,4.1
340,0.42,Ideal,G,VVS1,60.6,56.0,1179,4.86,4.88,2.95
341,0.25,Premium,F,IF,61.1,58.0,740,4.1,4.08,2.5
342,2.11,Ideal,H,SI2,60.0,56.0,12226,8.43,8.35,5.03
343,0.7,Good,I,VS2,59.4,57.0,2234,5.77,5.82,3.44
344,0.42,Premium,D,VVS2,59.6,59.0,1210,4.96,4.9,2.94
345,0.78,Good,D,SI1,60.1,61.0,3253,5.92,5.89,3.55
346,0.38,Ideal,G,VVS1,61.6,57.0,1140,4.73,4.65,2.89
347,1.11,Very Good,E,VS1,61.6,57.0,8852,6.59,6.63,4.07
348,0.53,Ideal,E,SI2,63.0,57.0,1262,5.16,5.13,3.24
349,0.53,Premium,D,VS1,60.0,61.0,2147,5.3,5.26,3.17
350,0.9,Good,D,VS2,65.8,58.0,4682,5.99,6.01,3.95
351,0.41,Very Good,D,VS1,63.4,56.0,991,4.7,4.76,3.0
352,0.7,Good,I,SI2,63.5,56.0,1675,5.59,5.63,3.56
